evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,9.287283914330764e-06,5.791097451450346e-07,3.2908801698422456e-06,2,1.281840871830589e-13,-3.8149317577806783,-0.16655211349260765,-0.22644917761557834
2,0.00030358073504387724,0.0003898181986155187,0.002101589823009479,58,9.749630305027205e-11,-4.598708382027426,-0.737193164063744,-0.2608114970752214
3,1.2900952156512194e-05,2.92005521846832e-06,1.544696126020082e-05,6,2.6816176835762893e-12,-3.8064217638308695,-0.16704116701263255,-0.22651479486189782
4,9.287123258374723e-06,5.682293455949729e-07,2.855035891444792e-06,2,2.749010203068862e-12,-3.814912203095822,-0.16655329612827804,-0.2264493566132676
5,9.286525773480995e-06,6.02426043520718e-07,2.14739896839832e-06,2,6.348558340130302e-11,-3.814837856148197,-0.16655779193152928,-0.2264500371463522
6,1.2817827143983067e-05,3.3523328273764907e-06,2.0431727954774224e-05,22,6.009360642068344e-11,-3.8121347353972697,-0.16665686622603076,-0.22646109742963513
7,9.286554003607038e-06,6.089192671567819e-07,2.178495961933415e-06,2,1.2499789847487209e-13,-3.814837143335992,-0.1665578130157566,-0.22645004250727993
8,9.286525773480995e-06,6.024260420559088e-07,2.1473989792126974e-06,1,6.325017922440145e-11,-3.814837856148197,-0.1665577933955391,-0.22645003728384197
9,9.286525773480995e-06,6.024260432117195e-07,2.147398970681225e-06,1,6.33006892514032e-11,-3.814837856148197,-0.1665577922404885,-0.22645003717536757
10,9.286525773480995e-06,6.024260434556109e-07,2.147398968880587e-06,1,6.344059084673936e-11,-3.814837856148197,-0.1665577919967309,-0.2264500371524755
11,9.286525773480995e-06,6.024260435071338e-07,2.1473989685008705e-06,1,6.34758229601585e-11,-3.814837856148197,-0.1665577919452891,-0.22645003714764445
12,9.286525773480995e-06,6.024260435180701e-07,2.1473989684209864e-06,1,6.348351192803588e-11,-3.814837856148197,-0.16655779193443304,-0.22645003714662487
13,9.286525773480995e-06,6.024260435203056e-07,2.147398968403837e-06,1,6.348514592552196e-11,-3.814837856148197,-0.16655779193214193,-0.22645003714640988
14,9.286525773480995e-06,6.024260435207374e-07,2.147398968399976e-06,1,6.348549089594313e-11,-3.814837856148197,-0.16655779193165848,-0.2264500371463644
15,9.286525773480995e-06,6.024260435209271e-07,2.147398968399666e-06,1,6.348556415683602e-11,-3.814837856148197,-0.16655779193155656,-0.22645003714635475
16,9.286525773480995e-06,6.024260435208862e-07,2.1473989683991944e-06,1,6.348557925403062e-11,-3.814837856148197,-0.16655779193153497,-0.22645003714635276
17,9.286525773480995e-06,6.02426043520765e-07,2.1473989683988175e-06,1,6.348556937754369e-11,-3.814837856148197,-0.16655779193154924,-0.22645003714635406
18,9.286525773480995e-06,6.024260435209183e-07,2.147398968399367e-06,1,6.348557724089029e-11,-3.814837856148197,-0.166557791931538,-0.22645003714635306
19,9.286525773480995e-06,6.024260435209947e-07,2.147398968399846e-06,1,6.348557185803559e-11,-3.814837856148197,-0.16655779193154543,-0.22645003714635376
20,9.286525773480995e-06,6.024260435206856e-07,2.1473989683983287e-06,1,6.348557623913382e-11,-3.814837856148197,-0.16655779193153963,-0.22645003714635314
21,9.286525773480995e-06,6.02426043520882e-07,2.147398968399225e-06,1,6.348557696834512e-11,-3.814837856148197,-0.16655779193153838,-0.22645003714635306
22,9.286525773480995e-06,6.02426043520674e-07,2.1473989683982114e-06,1,6.348557688924286e-11,-3.814837856148197,-0.1665577919315386,-0.22645003714635306
