evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,8.705021946660002e-10,4.922654004189319e-09,5.524748039049219e-08,2,3.706092408572495e-14,0.8446204171975139,0.6461210160980301,0.2518889324604275
2,1.2739832861271646e-05,5.823343624481471e-06,5.366078167774193e-05,12,7.59258925965076e-16,0.5206990403728254,0.5076414251942226,0.19282833465175456
3,6.898757904441142e-10,7.22670488902297e-09,7.420878963864469e-08,3,6.909277713554701e-15,0.8446228417472235,0.6461168910865992,0.25187968202485167
4,3.612268337545492e-10,2.1601051962939578e-08,1.547198359270505e-07,3,6.024384068850903e-12,0.8446402160840194,0.6461030848599568,0.25204129915837625
5,1.3490412933885947e-10,1.3473685997809452e-08,1.2425152562357326e-07,3,1.4894645533605957e-14,0.8446515864968961,0.6460996999112307,0.25165072494225005
6,6.405576717594752e-11,6.691483029842825e-09,5.6314505516539276e-08,3,1.3401584083887394e-16,0.8446499169783753,0.6460991082173041,0.25172940217671785
7,2.156062062852375e-11,1.897702908413565e-09,1.4811497407217266e-08,3,1.781721323608518e-15,0.8446517266877606,0.6460951409158834,0.2518357323397445
8,1.5269561409340073e-11,1.465865184141552e-09,1.0879357094671702e-08,2,5.899932891246159e-11,0.8446534925528062,0.6460937384782575,0.25185985823761664
9,1.0767131090395159e-11,3.127008672011653e-09,2.6955398372925188e-08,2,7.130807006527852e-11,0.8446543075918687,0.6460932012376428,0.25189998539281844
10,5.80541006156769e-12,1.0895780404349639e-09,9.958677354312e-09,2,3.085365070639807e-11,0.8446537212663652,0.6460923401483082,0.2518657580281466
11,3.948756427442555e-12,8.869973298633827e-10,7.916516062102697e-09,2,3.903071853553344e-12,0.8446520590151956,0.6460920732978759,0.2518520344545044
12,1.744261685200942e-12,5.465590010899803e-10,3.8433509276280924e-09,2,1.8334648334206168e-11,0.8446491098034902,0.6460912391733648,0.25183743096354344
13,7.469541843684105e-13,3.453761555129359e-10,2.9623555945337973e-09,2,9.862879636400673e-12,0.8446477344137656,0.646091384489707,0.25184156460598717
14,4.356165731437503e-13,5.41081024268954e-10,2.584657962420088e-09,2,1.4814274039598888e-11,0.8446472989964239,0.6460906082097793,0.25184408848050244
15,1.9354594189214714e-13,3.7049079797423926e-10,3.265969605217701e-09,2,1.8265796227569445e-12,0.8446482081367802,0.6460915737059363,0.25184345521709683
16,1.157295806817654e-13,1.158767871218702e-10,1.093978226034938e-09,2,4.036952837577296e-13,0.844648334013997,0.6460914843869638,0.2518502605479328
17,9.046732015974536e-14,8.620524479719246e-11,9.213998681079091e-10,2,7.819333195913907e-14,0.8446485033744876,0.6460914696931483,0.2518533547377013
18,5.3339416786071816e-14,9.365774309968507e-11,9.366376427996352e-10,2,4.3591141676981107e-13,0.8446488015155467,0.6460914661814526,0.251857090589063
19,2.4393318120742905e-14,6.668608231712396e-11,5.948162696988454e-10,2,2.831402920628353e-13,0.8446487250372426,0.6460914217465084,0.25185476049370314
20,3.7588800436722564e-15,3.3820822787863143e-11,2.75602952001568e-10,2,3.9086249282971703e-13,0.8446485372193566,0.6460913264644154,0.2518500283340905
21,4.078224142499312e-15,4.7292498568936253e-11,2.6138071597263206e-10,2,1.481020652237498e-13,0.8446486790803478,0.6460912579617504,0.25185213983271904
22,1.088114588384646e-15,1.5886932558117632e-11,1.212032882526149e-10,2,3.4963186192302855e-14,0.8446486061562781,0.6460912931872484,0.25185105427600557
23,2.3102821926328537e-16,7.195821089537452e-12,4.99634345393095e-11,2,1.1119557973576323e-14,0.8446485919903107,0.6460912797041962,0.2518507468834017
24,3.959649714133982e-17,3.813396080034699e-12,3.066957323671522e-11,2,3.285898381219442e-15,0.8446486128248974,0.6460912777533302,0.2518509229461134
25,2.9250700601057724e-17,4.318812386024249e-12,2.348274343595115e-11,2,5.164925127661502e-16,0.8446486342505604,0.6460912762303541,0.25185134822040806
26,5.411351196029636e-18,8.801478074474383e-13,7.33834587824343e-12,2,5.628820821421545e-17,0.8446486300080862,0.6460912756911974,0.25185119467448086
27,5.411351196029636e-18,8.801477876964977e-13,7.338345239832635e-12,1,6.042011737355893e-11,0.8446486300080862,0.6460912759920292,0.251851165432795
28,5.411351196029636e-18,8.801478032792298e-13,7.338345743515084e-12,1,1.2750852195439717e-11,0.8446486300080862,0.6460912757546838,0.25185118850342236
29,5.411351196029636e-18,8.801478065677962e-13,7.338345849810838e-12,1,2.6909050059632664e-12,0.8446486300080862,0.6460912757045952,0.25185119337216333
30,5.411351196029636e-18,8.801478072618062e-13,7.338345872243152e-12,1,5.678906498582429e-13,0.8446486300080862,0.6460912756940247,0.25185119439964454
