evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,6.117595633478824e-05,6.811380676408956e-05,0.00010325855589562358,2,4.669123180702492e-13,0.1669157072515407,0.04123117063057521,0.24701791886152533
2,0.011627470392084312,0.006502380658895041,0.010185503048567135,22,6.855819619002392e-13,-1.3277022361983921,-1.0764377940047711,-1.0764377940047691
3,6.09310462911954e-05,6.752714722696419e-05,0.00010155553099309946,3,1.05865939834512e-15,0.1670225796671843,0.04094380158015372,0.24513931985567416
4,0.00016053613910671236,0.0034923590433375657,0.006020459242721382,3,6.474849829130267e-11,0.5725956663769938,0.043188653309809096,0.07542609182335995
5,5.495519592481205e-05,5.261305066670717e-05,7.369826935259632e-05,4,1.3475750146932136e-15,0.19009082901436433,0.03649967078965698,0.19201173975046873
6,0.0037524363099349554,0.02913546135984338,0.04982445154011514,4,1.947008526419881e-12,-1.9285337085957959,-0.08332059726795726,-0.06513337010921935
7,5.4712203713528604e-05,5.727819493618339e-05,7.310170583326242e-05,3,1.1342113474004081e-14,0.20287900872771464,0.03846460694135276,0.18959382334609293
8,0.0007419609580922442,0.01475682394092309,0.02555447978773806,3,2.7537399624397564e-11,0.8894061275587065,0.02538022068681071,0.028536143276273362
9,5.287843244512821e-05,1.3311506272366325e-05,2.0842936951137933e-05,3,2.970393864630257e-11,0.24505236480218726,0.03770991380593382,0.15388512506857152
10,5.28317138161957e-05,1.013687354234391e-05,1.71413126089547e-05,3,3.195669745253539e-15,0.2335126445420589,0.036746541654720195,0.15736424777674782
11,5.279019013216655e-05,5.22023256537042e-06,7.251032992986343e-06,3,3.4014660589025252e-15,0.23601512100847707,0.03622946451261297,0.15350484476505932
12,5.276730526555359e-05,2.2266956968852852e-06,2.6636956232703487e-06,3,1.1868417565452144e-14,0.23669515780569825,0.0351444376049181,0.14847974893414584
13,5.276585338218154e-05,6.204373847962636e-07,1.0601613747646627e-06,2,1.8728329034527195e-11,0.2353416154133522,0.03485062250813305,0.14808525235505707
14,5.2765691331104526e-05,1.5133046826058725e-07,2.621018968665601e-07,2,6.678431138079344e-13,0.23517287262039482,0.03479773617228929,0.14796662465597463
15,5.2765684146669865e-05,7.309375518254975e-09,1.2491826509134651e-08,2,2.598788606899237e-15,0.2352060544495687,0.03480177999191803,0.14796294284754474
16,5.2765684146669865e-05,6.800022587513874e-09,1.1732417083047762e-08,1,7.87492899701461e-11,0.2352060544495687,0.034802102803706735,0.14796431531131676
17,5.2765684146669865e-05,7.132113591696777e-09,1.2285085666153162e-08,1,2.143914354928539e-11,0.2352060544495687,0.034801867873386565,0.1479633164836262
18,5.2765684146669865e-05,7.26712851516448e-09,1.2445273698635621e-08,1,4.828348274739957e-12,0.2352060544495687,0.03480179978057105,0.1479630269808085
19,5.2765684146669865e-05,7.300219931921414e-09,1.2481860454623058e-08,1,1.0344799330502718e-12,0.2352060544495687,0.03480178422828385,0.14796296085884053
20,5.2765684146669865e-05,7.307432448527512e-09,1.2489716912992942e-08,1,2.1981383063986217e-13,0.2352060544495687,0.03480178088866409,0.14796294666014245
21,5.2765684146669865e-05,7.30896494464907e-09,1.2491380992044092e-08,1,4.730393174361306e-14,0.2352060544495687,0.034801780181297905,0.1479629436527105
22,5.2765684146669865e-05,7.307953308756432e-09,1.249028269982073e-08,1,1.611491764167641e-13,0.2352060544495687,0.03480178064815959,0.14796294563761556
23,5.2765684146669865e-05,7.308751562821789e-09,1.2491149397894852e-08,1,7.12989004454856e-14,0.2352060544495687,0.03480178027974363,0.14796294407126154
24,5.2765684146669865e-05,7.308920112283456e-09,1.2491332336106686e-08,1,5.234352900843459e-14,0.2352060544495687,0.034801780201980485,0.1479629437406444
25,5.2765684146669865e-05,7.308808867595707e-09,1.2491211597333432e-08,1,6.48531314709087e-14,0.2352060544495687,0.03480178025330417,0.14796294395885173
26,5.2765684146669865e-05,7.3088968674339205e-09,1.2491307108636427e-08,1,5.495703517295063e-14,0.2352060544495687,0.03480178021270465,0.14796294378623917
27,5.2765684146669865e-05,7.308920112283456e-09,1.2491332336106686e-08,1,5.234352900843459e-14,0.2352060544495687,0.034801780201980485,0.1479629437406444
