step,section_points,section_cells,fat_cells,muscle_cells,aponeurosis_cells,fat_area_m2,muscle_area_m2,aponeurosis_area_m2,skin_points,skin_cells,skin_components,x_min_m,x_max_m,z_min_m,z_max_m
0,11388,16732,13778,2703,251,0.00616916519029799,0.00119545598059377,0.00010134169632638725,286,285,1,1.346445148079029,1.4676825867078067,-0.022516579014408237,0.10056717297035135
1,11404,16755,13801,2708,246,0.0061681949499823845,0.0011961905221958146,9.662304146817099e-05,288,287,1,1.346426447534337,1.4676924136584932,-0.022516579014408237,0.09962466008932755
2,11404,16756,13779,2734,243,0.006168703975477084,0.001197393154804324,9.102418966244649e-05,287,286,1,1.3464101675173616,1.467702168330305,-0.022516579014408237,0.09865316129233566
3,11442,16803,13797,2771,235,0.006170045897064311,0.0011994984366023487,8.62527315028434e-05,285,284,1,1.3463931372558322,1.4677128554102954,-0.022516579014408237,0.09775150529365849
4,11462,16831,13817,2803,211,0.006170850951628386,0.0011997202761371882,8.574025214280571e-05,286,285,1,1.3463751280347298,1.467722520438388,-0.022516579014408237,0.09696367058433876
5,11477,16853,13837,2809,207,0.006170802031199166,0.0012030176631858958,8.452211253061773e-05,282,281,1,1.346353550685498,1.4677313335067166,-0.022516579014408237,0.09631425198689861
6,11521,16928,13862,2858,208,0.006172507313463948,0.0012056277105970009,8.251137688026868e-05,286,285,1,1.346335168915125,1.467739784610933,-0.022516579014408237,0.0958308480034948
7,11566,16995,13908,2884,203,0.00617037220744999,0.0012135081866742447,8.014612730856206e-05,291,290,1,1.3463188382774645,1.4677478969045803,-0.022516579014408237,0.09553728874218442
8,11620,17079,13947,2937,195,0.006167410855500981,0.0012230237322274936,7.67580813413363e-05,290,289,1,1.3463027937771284,1.4677559984257036,-0.022516579014408237,0.09540128194906167
9,11666,17132,13980,2967,185,0.006165613320349941,0.0012328957767091223,7.227554453132117e-05,298,297,1,1.3462912744193454,1.4677635946062126,-0.022516579014408237,0.09531170737185944
10,11727,17227,14029,3018,180,0.006160226858247483,0.0012480291542503587,6.959709387465107e-05,298,297,1,1.3462821750108378,1.467770298760785,-0.022516579014408237,0.09520972377002113
11,11745,17261,14036,3050,175,0.006159421452249217,0.0012612894687214977,6.850288530877272e-05,294,293,1,1.3462720224357432,1.4677768111894696,-0.022516579014408237,0.09531371715488245
12,11798,17343,14065,3107,171,0.006151613583041758,0.0012776638492952978,6.823499212412946e-05,294,293,1,1.3462634882059354,1.4677836595727893,-0.022516579014408237,0.09541369239786801
13,11813,17368,14065,3133,170,0.006148363480322212,0.001283951221193961,6.820226182093874e-05,297,296,1,1.3462559988932121,1.467789626686054,-0.022516579014408237,0.0955467467915452
14,11846,17419,14068,3182,169,0.006147781662247304,0.0012925855452423291,6.754878566477527e-05,296,295,1,1.3462523189631204,1.4677958118610408,-0.022516579014408237,0.09567647982915073
15,11889,17491,14099,3222,170,0.00614785386656164,0.001301488396923213,6.62731559072964e-05,293,292,1,1.3462439800953212,1.467805322656918,-0.022516579014408237,0.09568248894627754
16,11923,17525,14104,3256,165,0.006145316715960065,0.0013138604439241984,6.36103505469014e-05,292,291,1,1.3462388612609173,1.4678151054397541,-0.022516579014408237,0.09566322862900553
17,11947,17554,14133,3268,153,0.006138200892636173,0.001327646353315669,6.151713496638189e-05,297,296,1,1.3462420763698348,1.4678218045638631,-0.022516579014408237,0.09562389335773262
18,11987,17605,14164,3291,150,0.00612798547012233,0.0013426859003179185,5.9385203888764075e-05,293,292,1,1.3462262311847426,1.4678295877871326,-0.022516579014408237,0.09568473871707517
19,12026,17658,14193,3319,146,0.006123418459724669,0.001354275978843713,5.795137503074417e-05,299,298,1,1.3462032588118598,1.4678393338685403,-0.022516579014408237,0.0957258374321446
20,12054,17695,14204,3348,143,0.006116791279653206,0.0013662086105537337,5.628665662698865e-05,304,303,1,1.3461906116732956,1.4678468811490777,-0.022516579014408237,0.09571401662603189
21,12108,17789,14256,3392,141,0.006112155903489591,0.0013784290342388817,5.439416953129247e-05,308,307,1,1.3461712747604957,1.467854026896671,-0.022516579014408237,0.09558339830038003
22,12105,17794,14226,3423,145,0.006109542235596781,0.0013888036178855367,5.286493701451474e-05,307,306,1,1.3461544415609796,1.467862930499481,-0.022516579014408237,0.09549765858569052
23,12156,17881,14310,3423,148,0.0061052951963242764,0.001399703173334696,5.198900220117664e-05,306,305,1,1.3461337926571029,1.467874653552593,-0.022516579014408237,0.09543556283199131
24,12189,17922,14366,3409,147,0.0061061930227082895,0.0014113917450772392,5.248054400181065e-05,312,311,1,1.3461200105030424,1.4678819906073353,-0.022516579014408237,0.0955272495369395
25,12229,17969,14349,3475,145,0.006103155426587692,0.0014214214241297161,5.220333796493409e-05,318,317,1,1.3461070660748944,1.4678889703552083,-0.022516579014408237,0.09548638763494649
26,12290,18056,14368,3543,145,0.006099896091296512,0.0014311664717439028,5.1931528105481994e-05,317,316,1,1.3460962591284373,1.4678979780439962,-0.022516579014408237,0.09547340922075409
27,12304,18075,14372,3556,147,0.0060961601962858545,0.0014398551324921163,5.217337954102708e-05,323,322,1,1.346090661886788,1.4679077549285593,-0.022516579014408237,0.09547192118136374
28,12304,18074,14374,3555,145,0.00609232455889659,0.0014471684412882468,5.227587113786805e-05,323,322,1,1.346081301544776,1.4679161381849164,-0.022516579014408237,0.09551758300550289
29,12341,18126,14432,3548,146,0.0060873147334017915,0.0014555691249115116,5.2371213748458214e-05,322,321,1,1.3460715600772317,1.4679223394691394,-0.022516579014408237,0.09552162445430029
30,12373,18165,14468,3553,144,0.00608593353052223,0.0014623835886387973,5.250710852834356e-05,330,329,1,1.346058996531555,1.4679294120174173,-0.022516579014408237,0.09561530394192941
31,12363,18147,14443,3562,142,0.006083462478416795,0.0014688642201542345,5.266493758353617e-05,327,326,1,1.3460415085038921,1.4679502190196811,-0.022516579014408237,0.09578638407002321
32,12402,18220,14492,3584,144,0.006080153775826599,0.0014752254923166902,5.2757141883622117e-05,322,321,1,1.346014825990782,1.4679680815361795,-0.022516579014408237,0.09584359720458652
33,12438,18286,14544,3598,144,0.006078106588205024,0.0014807110096895532,5.284814859865293e-05,324,323,1,1.345990442839769,1.4679843525387772,-0.022516579014408237,0.09579695704600436
34,12498,18390,14593,3652,145,0.00607615257849337,0.0014854119484309434,5.333663356661675e-05,321,320,1,1.3459556159476156,1.4679998542022945,-0.022516579014408237,0.09571233730302398
